Name,Profile URL,Image URL,Jersey,B/T,Height,Weight,DOB
Anthony Banda,https://www.mlb.com/player/607455,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/607455/headshot/silo/current",43,L/L,"6' 2""",221,08/10/1993
Ben Casparius,https://www.mlb.com/player/676508,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676508/headshot/silo/current",78,R/R,"6' 2""",215,02/11/1999
Jack Dreyer,https://www.mlb.com/player/676263,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676263/headshot/silo/current",86,R/L,"6' 2""",205,02/27/1999
Tyler Glasnow,https://www.mlb.com/player/607192,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/607192/headshot/silo/current",31,L/R,"6' 8""",225,08/23/1993
Tony Gonsolin,https://www.mlb.com/player/664062,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/664062/headshot/silo/current",26,R/R,"6' 3""",205,05/14/1994
Brusdar Graterol,https://www.mlb.com/player/660813,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/660813/headshot/silo/current",48,R/R,"6' 1""",265,08/26/1998
Michael Grove,https://www.mlb.com/player/675627,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/675627/headshot/silo/current",29,R/R,"6' 3""",200,12/18/1996
Edgardo Henriquez,https://www.mlb.com/player/683618,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/683618/headshot/silo/current",60,R/R,"6' 4""",200,06/24/2002
Kyle Hurt,https://www.mlb.com/player/669165,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/669165/headshot/silo/current",63,R/R,"6' 3""",240,05/30/1998
Clayton Kershaw,https://www.mlb.com/player/477132,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/477132/headshot/silo/current",22,L/L,"6' 4""",225,03/19/1988
